exam_id,lead,num_edges,density,avg_node_degree,avg_degree_centrality,avg_closeness_centrality,avg_curr_flow_closeness_centrality,avg_pagerank,avg_clustering_coef,motif_3_0,motif_3_1,motif_3_2,motif_3_3,motif_4_0,motif_4_1,motif_4_2,motif_4_3,motif_4_4,motif_4_5,motif_4_6,motif_4_7,motif_4_8,motif_4_9,motif_4_10,motif_5_0,motif_5_1,motif_5_2,motif_5_3,motif_5_4,motif_5_5,motif_5_6,motif_5_7,motif_5_8,motif_5_9,motif_5_10,motif_5_11,motif_5_12,motif_5_13,motif_5_14,motif_5_15,motif_5_16,motif_5_17,motif_5_18,motif_5_19,motif_5_20,motif_5_21,motif_5_22,motif_5_23,motif_5_24,motif_5_25,motif_5_26,motif_5_27,motif_5_28,motif_5_29,motif_5_30,motif_5_31,motif_5_32,motif_5_33
100,lead 0,90436,0.005391721993284493,22.0791015625,0.005391721993284479,0.24741326406461397,0.000792014999803795,0.0002441406250000012,0.6388354469293827,0,0,6888082,180755,0,0,0,0,46157806,0,1513177,740533,543253,303330,8481,0,0,0,0,0,0,0,0,0,0,0,24821617,0,5922160,1332514,837509,123811,531602,279134,0,291415,59615,17333,206904,96904,18612,7,12325,10919,9379,9831,1225,1326,420
1000229,lead 0,147496,0.00879359355921856,36.009765625,0.008793593559218762,0.2335637867510335,0.0010920627564295865,0.00024414062500000005,0.6316136735830843,0,0,3313396,517419,0,0,0,0,6722798,0,3840163,2383940,247833,444087,82342,0,0,0,0,0,0,0,0,0,0,0,1579958,0,7731210,1918478,1549834,604830,764864,599041,0,1195000,241203,155818,204708,96457,170872,112,87532,102213,103188,93286,21541,23556,2860
1000270,lead 0,192862,0.011498278197496948,47.08544921875,0.011498278197497488,0.26789090733859994,0.00214525834605579,0.00024414062499999976,0.6619900262251478,0,0,3373494,1043914,0,0,0,0,3096667,0,2158080,2127143,445353,813861,207831,0,0,0,0,0,0,0,0,0,0,0,542136,0,2057191,739412,862505,182724,500587,478403,0,593861,190574,202747,254281,96669,114137,111,134232,94500,261808,128676,62617,44203,6128
1000353,lead 0,155996,0.009300356761294261,38.0849609375,0.00930035676129452,0.2589802631035693,0.00109983710631682,0.00024414062500000043,0.6279782642361981,0,0,5014302,604166,0,0,0,0,14733159,0,6224210,4165704,405709,603855,88040,0,0,0,0,0,0,0,0,0,0,0,3350654,0,17219618,4733853,2989655,1235801,1227064,1061360,0,2194916,442799,255373,248190,76248,335170,73,189962,152816,107133,86994,31149,22833,3323
1000385,lead 0,246802,0.014714137858669108,60.25439453125,0.014714137858669879,0.27685405609508007,0.0020489484818614232,0.0002441406249999996,0.652849332408766,0,0,7604618,1626951,0,0,0,0,18971937,0,6635912,7606369,1014944,2215382,502391,0,0,0,0,0,0,0,0,0,0,0,3340619,0,10776629,3939669,2204944,1272634,1288558,2166391,0,2417338,486230,474520,520862,420976,372281,134,267529,372664,304897,420629,149396,180611,9639
1000465,lead 0,140336,0.008366720085470085,34.26171875,0.008366720085470066,0.2580825759777405,0.0014132952455753083,0.0002441406249999931,0.5623604763348463,0,0,7671890,408114,0,0,0,0,43002803,0,2076495,1331844,336083,539641,47458,0,0,0,0,0,0,0,0,0,0,0,24387279,0,3922405,1863778,879026,281561,431181,323572,0,446013,141154,88480,518151,345039,37119,62,56881,62382,74368,54939,20689,14833,1219
1000471,lead 0,134186,0.008000062003968253,32.76025390625,0.008000062003968347,0.19374366310934257,0.0005838255568528232,0.00024414062499999967,0.5725371210271298,0,0,7546862,380694,0,0,0,0,72867641,0,1634767,1354698,2093235,674218,41893,0,0,0,0,0,0,0,0,0,0,0,22176115,0,2128939,1489623,616528,143240,1377493,189664,0,326048,123516,65187,1117617,318546,37783,56,42825,44583,69481,47137,12696,13195,1168
100049,lead 0,160182,0.009549922733516484,39.10693359375,0.009549922733516845,0.3023731649214186,0.0005460038634611733,0.00024414062500000043,0.565194617602605,0,0,15927177,446648,0,0,0,0,129534196,0,6990413,4867702,1964361,1170105,60360,0,0,0,0,0,0,0,0,0,0,0,52621622,0,37930895,8124759,3349954,1602858,2987539,2767898,0,1578755,381506,210290,2091013,426681,257455,212,115521,127660,107625,75049,24873,19805,2319
1000512,lead 0,84946,0.005064412583943834,20.73876953125,0.005064412583943817,0.2154830797723678,0.0009313063773713824,0.00024414062500000005,0.6548111074131655,0,0,804279,170759,0,0,0,0,700717,0,723189,372859,39948,75222,23798,0,0,0,0,0,0,0,0,0,0,0,182036,0,948497,205090,390804,82418,107593,53538,0,235215,62962,36358,23762,6768,28837,13,18516,13999,21044,15850,4936,6515,3423
1000547,lead 0,247834,0.014775664873321123,60.50634765625,0.014775664873321903,0.2814726240440175,0.0017096023130126676,0.0002441406250000003,0.636478141371127,0,0,13129373,1689301,0,0,0,0,71488099,0,15833462,17256918,1730501,3120064,484479,0,0,0,0,0,0,0,0,0,0,0,13908027,0,50601617,15326686,6128810,6897167,3224419,5840847,0,6411763,1825547,933309,942929,606258,952576,723,508251,654811,428727,483852,152806,140954,5927
1000584,lead 0,351550,0.020959129845848596,85.82763671875,0.020959129845849654,0.23902847150541354,0.0016941118456416883,0.00024414062499999995,0.6932543145974277,0,0,14293264,3485534,0,0,0,0,60186428,0,5201221,24126654,2651516,7750163,1401582,0,0,0,0,0,0,0,0,0,0,0,7606026,0,4137246,9926416,936772,731869,734326,7375298,0,1033554,309635,2309887,1414048,1803357,1136770,6,452361,1580206,1134265,2226920,377166,562766,12470
1000598,lead 0,119258,0.007110066582722833,29.11572265625,0.007110066582722809,0.24059427114668805,0.0015608133139127633,0.0002441406250000031,0.6505022900364056,0,0,6398625,369787,0,0,0,0,70636628,0,3727848,3611530,353530,881396,65350,0,0,0,0,0,0,0,0,0,0,0,34454711,0,16618135,6808238,1887160,1386517,598097,2412867,0,1506728,291632,218717,654526,556435,247755,37,81194,116365,63686,87540,17135,18673,2259
1000604,lead 0,96092,0.0057289281898656895,23.4599609375,0.005728928189865671,0.2520180574201833,0.0011184263439276987,0.0002441406249999976,0.6442460053406324,0,0,4562975,230197,0,0,0,0,43047297,0,2836715,1614007,420223,290880,26189,0,0,0,0,0,0,0,0,0,0,0,24348394,0,9139146,2329479,1710637,367141,853845,279225,0,826543,152422,77478,186123,110702,98109,29,39963,34291,28571,22607,5130,4551,1261
1000657,lead 0,113510,0.00676737541971917,27.71240234375,0.006767375419719147,0.27015545570415517,0.0014994665885308322,0.0002441406249999998,0.6516835021621539,0,0,3484991,318280,0,0,0,0,13618233,0,3530516,2559375,180688,355507,47892,0,0,0,0,0,0,0,0,0,0,0,3498600,0,12611459,3343493,1803145,791398,563803,918625,0,1313489,262947,188854,190833,93730,146784,8,70491,99442,64641,73789,11883,16687,2713
1000659,lead 0,135476,0.008076970772283273,33.0751953125,0.008076970772283247,0.29090534769071147,0.0017512249278965138,0.0002441406249999977,0.6553138934714186,0,0,9285612,450600,0,0,0,0,84777161,0,3537909,5611879,748496,1427867,111720,0,0,0,0,0,0,0,0,0,0,0,30480201,0,8499948,6980668,773904,1365019,872094,2992103,0,990435,315937,355855,1279946,438698,364855,58,101876,220998,94259,168827,169365,45062,2926
1000730,lead 0,297872,0.017758890415140414,72.72265625,0.017758890415141386,0.24647655475897526,0.0011790476154012904,0.00024414062500000054,0.5956965209516587,0,0,14367450,2000022,0,0,0,0,54776556,0,12220294,14303364,3649399,3077276,299397,0,0,0,0,0,0,0,0,0,0,0,8671687,0,20278895,8557422,4208724,1626760,4395238,4699138,0,3714912,1135867,855171,1052147,470824,644740,92,1200925,908892,499302,429906,115728,90278,5094
1000748,lead 0,101536,0.006053495115995116,24.7890625,0.006053495115995097,0.26993606814168675,0.0012332340772765553,0.00024414062499999545,0.6393700503424766,0,0,6317029,227807,0,0,0,0,62721392,0,1878238,1645069,621541,463848,25728,0,0,0,0,0,0,0,0,0,0,0,30306361,0,9097305,2421873,924051,416494,937064,636123,0,612470,144767,73364,552433,248949,56638,10,31842,33623,35614,29038,5644,6483,1375
1000807,lead 0,148452,0.008850589514652014,36.2431640625,0.008850589514652188,0.2355992709030147,0.0016020857420819712,0.00024414062500000065,0.6455876114420767,0,0,3283723,548860,0,0,0,0,6150704,0,3128846,2509995,278471,455519,91655,0,0,0,0,0,0,0,0,0,0,0,1155308,0,5755066,2150007,1234246,486032,618878,549678,0,1079244,246620,217400,159280,71054,222818,75,116638,104361,101286,94408,18923,25444,9064
1000846,lead 0,98716,0.005885368971306471,24.1005859375,0.005885368971306454,0.22210633118057038,0.0009403682592799304,0.0002441406250000033,0.6141372185128314,0,0,7209508,199688,0,0,0,0,74228202,0,1267483,1015248,1380142,715826,14450,0,0,0,0,0,0,0,0,0,0,0,26688069,0,5285120,1840784,712904,177162,847888,601416,0,308324,91152,31410,823196,299953,28215,28,16029,16938,40774,15394,5697,3955,905
1000894,lead 0,84920,0.005062862484737485,20.732421875,0.005062862484737469,0.25109704739913014,0.0008354181835350583,0.0002441406250000037,0.6637127506483126,0,0,5315122,157707,0,0,0,0,45208862,0,1377234,1097375,298009,355859,16420,0,0,0,0,0,0,0,0,0,0,0,27726683,0,5909649,1946561,677995,233230,430141,649930,0,403239,84511,39766,306587,114089,41585,4,16368,20874,16063,15256,2728,2827,1093
1000966,lead 0,108392,0.0064622443528693525,26.462890625,0.006462244352869333,0.26867569152201304,0.0011591516888236496,0.0002441406250000037,0.6326962527103551,0,0,6238909,257539,0,0,0,0,46135393,0,1592026,1533867,271663,420370,34114,0,0,0,0,0,0,0,0,0,0,0,30081503,0,3277474,2941729,472775,241900,522227,530100,0,364682,105888,90188,581363,159571,86680,16,36658,41345,47615,37151,7909,7568,1544
